reading_id,robot_id,timestamp,vibration_level,motor_temperature,torque_load,power_consumption,model_type,factory_location,operating_environment,cumulative_hours,failure_time,rul_hours_raw,rul_hours,is_failure_robot,label_status,total_maintenance_count,total_downtime_hours,avg_downtime_hours,repair_count,replacement_count,lubrication_count,calibration_count,inspection_count,health_risk_label,vibration_rolling_mean_7d,temperature_rolling_mean_7d,torque_rolling_mean_7d,power_rolling_mean_7d,vibration_rolling_std_7d,temperature_rolling_std_7d,torque_rolling_std_7d,power_rolling_std_7d,wear_trend_slope,load_stress_index,vibration_short_long_diff,temperature_short_long_diff
READ-011666,ROB-0007,2023-02-16 18:00:00,0.319,54.4,110.0,1054.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",162.0,2023-11-21,6654.0,6654.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.34967857142857145,55.57857142857143,106.76071428571429,1278.5392857142856,0.10867997654392138,7.789088148165623,27.033646241314344,416.10157176956267,-0.0042717569786535296,17820.0,-0.0739285714285714,-1.4535714285714292
READ-011667,ROB-0007,2023-02-17 00:00:00,0.188,64.6,109.6,1181.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",168.0,2023-11-21,6648.0,6648.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3358928571428571,55.628571428571426,106.61785714285715,1270.7571428571428,0.10353111512459331,7.844122930593614,27.006721434589252,415.80274385691797,-0.003686097427476737,18412.8,-0.08964285714285708,2.8214285714285765
READ-011668,ROB-0007,2023-02-17 06:00:00,0.233,66.5,79.7,1554.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",174.0,2023-11-21,6642.0,6642.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3278928571428571,55.47857142857142,104.33571428571429,1289.582142857143,0.10247541323390852,7.58098777609987,26.4602177181731,416.3226491410606,-0.0034852216748768473,13867.800000000001,-0.09039285714285708,5.771428571428579
READ-011669,ROB-0007,2023-02-17 12:00:00,0.387,70.5,111.1,971.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",180.0,2023-11-21,6636.0,6636.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3285,56.06071428571429,104.26071428571427,1303.1821428571427,0.10278402383422997,8.08804967956105,26.437127922757284,398.49850415962703,-0.002714285714285714,19998.0,-0.04674999999999996,7.93928571428571
READ-011670,ROB-0007,2023-02-17 18:00:00,0.519,49.9,130.8,1133.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",186.0,2023-11-21,6630.0,6630.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.33225000000000005,56.33571428571429,103.41071428571429,1306.2250000000001,0.10781143517992678,7.72193673104791,25.107875985593378,396.79868356356445,-0.00062807881773399,24328.800000000003,-0.000500000000000056,6.539285714285711
READ-011671,ROB-0007,2023-02-18 00:00:00,0.245,64.7,75.8,1986.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",192.0,2023-11-21,6624.0,6624.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3355714285714285,57.125,103.53214285714284,1318.1035714285715,0.1033947590087437,7.388210077423906,24.960131967413314,412.277917305649,-0.0027033388067870825,14553.599999999999,0.01042857142857151,5.774999999999999
READ-011672,ROB-0007,2023-02-18 06:00:00,0.21,47.8,72.3,775.8,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",198.0,2023-11-21,6618.0,6618.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3244285714285714,56.75357142857143,101.32857142857142,1289.3142857142855,0.09928985945440846,7.590807410470717,24.89415902253285,421.2226803663668,-0.002151614668856048,14315.4,0.015821428571428597,1.471428571428575
READ-011673,ROB-0007,2023-02-18 12:00:00,0.301,66.1,141.3,1203.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",204.0,2023-11-21,6612.0,6612.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3200357142857143,56.80357142857143,103.16785714285716,1282.7642857142857,0.09742479802309711,7.649472610378523,25.893300342859018,421.0749297393831,-0.00153448275862069,28825.2,-0.0012857142857143344,0.3214285714285694
READ-011674,ROB-0007,2023-02-18 18:00:00,0.216,51.9,103.7,740.5,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",210.0,2023-11-21,6606.0,6606.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3181428571428571,56.78928571428572,101.7,1241.425,0.09895592520044028,7.6585628322867905,24.57733071725214,415.2150693270853,-0.002708264915161466,21777.0,-0.07514285714285712,0.8357142857142819
READ-011675,ROB-0007,2023-02-19 00:00:00,0.219,45.9,97.4,1555.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",216.0,2023-11-21,6600.0,6600.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy,0.3106785714285714,56.49642857142857,101.68571428571428,1243.0392857142856,0.09824235096845718,7.91760729583157,24.579797701088903,416.3849397241698,-0.0025689655172413794,21038.4,-0.07417857142857143,-3.5714285714285694
