reading_id,robot_id,timestamp,vibration_level,motor_temperature,torque_load,power_consumption,model_type,factory_location,operating_environment,cumulative_hours,failure_time,rul_hours_raw,rul_hours,is_failure_robot,label_status,total_maintenance_count,total_downtime_hours,avg_downtime_hours,repair_count,replacement_count,lubrication_count,calibration_count,inspection_count,health_risk_label
READ-011639,ROB-0007,2023-02-10 00:00:00,0.574,63.2,113.6,1399.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",0.0,2023-11-21,6816.0,6816.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011640,ROB-0007,2023-02-10 06:00:00,0.457,70.7,143.6,1027.7,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",6.0,2023-11-21,6810.0,6810.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011641,ROB-0007,2023-02-10 12:00:00,0.37,54.2,113.2,591.1,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",12.0,2023-11-21,6804.0,6804.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011642,ROB-0007,2023-02-10 18:00:00,0.414,42.2,154.6,1047.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",18.0,2023-11-21,6798.0,6798.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011643,ROB-0007,2023-02-11 00:00:00,0.152,42.6,72.4,1654.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",24.0,2023-11-21,6792.0,6792.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011644,ROB-0007,2023-02-11 06:00:00,0.522,58.2,134.0,1581.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",30.0,2023-11-21,6786.0,6786.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011645,ROB-0007,2023-02-11 12:00:00,0.424,64.7,89.8,1386.9,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",36.0,2023-11-21,6780.0,6780.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011646,ROB-0007,2023-02-11 18:00:00,0.269,52.3,144.8,1898.0,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",42.0,2023-11-21,6774.0,6774.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011647,ROB-0007,2023-02-12 00:00:00,0.428,54.1,97.8,1510.2,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",48.0,2023-11-21,6768.0,6768.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
READ-011648,ROB-0007,2023-02-12 06:00:00,0.161,44.7,74.9,1135.4,ARM-X7,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)",54.0,2023-11-21,6762.0,6762.0,True,labelled_failure_timeline,5,47.0,9.4,1,0,0,2,2,Healthy
