reading_id,robot_id,timestamp,vibration_level,motor_temperature,torque_load,power_consumption
READ-000001,ROB-0001,2023-01-07 00:00:00,0.288,70.1,136.1,1471.0
READ-000002,ROB-0001,2023-01-07 06:00:00,0.135,70.2,139.5,811.1
READ-000003,ROB-0001,2023-01-07 12:00:00,0.277,47.9,123.5,752.5
READ-000004,ROB-0001,2023-01-07 18:00:00,0.172,58.2,111.2,610.9
READ-000005,ROB-0001,2023-01-08 00:00:00,0.465,52.8,68.2,1234.0
READ-000006,ROB-0001,2023-01-08 06:00:00,0.406,47.9,151.4,1703.7
READ-000007,ROB-0001,2023-01-08 12:00:00,0.323,46.6,139.5,1073.6
READ-000008,ROB-0001,2023-01-08 18:00:00,0.231,73.5,128.0,838.8
READ-000009,ROB-0001,2023-01-09 00:00:00,0.44,58.3,92.2,686.0
READ-000010,ROB-0001,2023-01-09 06:00:00,0.523,59.2,66.8,1666.8
READ-000011,ROB-0001,2023-01-09 12:00:00,0.363,54.2,58.0,652.2
READ-000012,ROB-0001,2023-01-09 18:00:00,0.473,48.5,100.6,1693.2
READ-000013,ROB-0001,2023-01-10 00:00:00,0.436,46.9,142.3,1315.1
READ-000014,ROB-0001,2023-01-10 06:00:00,0.406,67.0,54.0,1292.1
READ-000015,ROB-0001,2023-01-10 12:00:00,0.54,51.5,97.3,1603.7
READ-000016,ROB-0001,2023-01-10 18:00:00,0.254,43.7,115.8,1269.0
READ-000017,ROB-0001,2023-01-11 00:00:00,0.584,47.4,129.2,1650.4
READ-000018,ROB-0001,2023-01-11 06:00:00,0.354,56.9,64.5,1787.8
READ-000019,ROB-0001,2023-01-11 12:00:00,0.368,43.4,101.6,936.2
READ-000020,ROB-0001,2023-01-11 18:00:00,0.565,43.7,90.2,759.4
READ-000021,ROB-0001,2023-01-12 00:00:00,0.375,50.8,58.1,1856.2
READ-000022,ROB-0001,2023-01-12 06:00:00,0.406,69.4,145.2,1698.4
READ-000023,ROB-0001,2023-01-12 12:00:00,0.092,48.1,105.0,1611.5
READ-000024,ROB-0001,2023-01-12 18:00:00,0.321,68.2,118.7,1801.2
READ-000025,ROB-0001,2023-01-13 00:00:00,0.27,51.0,152.4,1183.3
READ-000026,ROB-0001,2023-01-13 06:00:00,0.327,57.7,73.4,1655.1
READ-000027,ROB-0001,2023-01-13 12:00:00,0.114,66.8,95.6,2025.7
READ-000028,ROB-0001,2023-01-13 18:00:00,0.174,59.0,148.9,1559.8
READ-000029,ROB-0001,2023-01-14 00:00:00,0.432,62.3,127.3,1619.1
READ-000030,ROB-0001,2023-01-14 06:00:00,0.525,71.7,110.9,1321.8
READ-000031,ROB-0001,2023-01-14 12:00:00,0.482,52.3,104.1,635.0
READ-000032,ROB-0001,2023-01-14 18:00:00,0.241,61.9,58.4,573.7
READ-000033,ROB-0001,2023-01-15 00:00:00,0.46,47.2,128.0,697.0
READ-000034,ROB-0001,2023-01-15 06:00:00,0.407,73.0,102.7,1031.0
READ-000035,ROB-0001,2023-01-15 12:00:00,0.1,70.2,136.2,1574.4
READ-000036,ROB-0001,2023-01-15 18:00:00,0.476,65.5,113.4,955.4
READ-000037,ROB-0001,2023-01-16 00:00:00,0.315,66.3,51.8,722.3
READ-000038,ROB-0001,2023-01-16 06:00:00,0.428,53.3,70.1,1204.7
READ-000039,ROB-0001,2023-01-16 12:00:00,0.251,61.7,106.3,1816.7
READ-000040,ROB-0001,2023-01-16 18:00:00,0.24,57.1,159.7,1354.6
READ-000041,ROB-0001,2023-01-17 00:00:00,0.541,52.3,150.1,1893.2
READ-000042,ROB-0001,2023-01-17 06:00:00,0.506,41.3,140.9,982.0
READ-000043,ROB-0001,2023-01-17 12:00:00,0.481,67.3,83.1,819.7
READ-000044,ROB-0001,2023-01-17 18:00:00,0.288,67.5,93.2,1970.5
READ-000045,ROB-0001,2023-01-18 00:00:00,0.225,68.5,107.1,1785.8
READ-000046,ROB-0001,2023-01-18 06:00:00,0.48,56.8,124.0,1246.4
READ-000047,ROB-0001,2023-01-18 12:00:00,0.47,64.3,69.0,1287.2
READ-000048,ROB-0001,2023-01-18 18:00:00,0.249,46.0,70.5,1677.1
READ-000049,ROB-0001,2023-01-19 00:00:00,0.107,63.8,122.0,665.6
READ-000050,ROB-0001,2023-01-19 06:00:00,0.46,56.7,97.3,1900.9
READ-000051,ROB-0001,2023-01-19 12:00:00,0.198,48.6,66.2,1535.9
READ-000052,ROB-0001,2023-01-19 18:00:00,0.275,68.1,77.8,1971.6
READ-000053,ROB-0001,2023-01-20 00:00:00,0.645,56.2,122.3,1599.1
READ-000054,ROB-0001,2023-01-20 06:00:00,0.278,48.8,145.8,1867.4
READ-000055,ROB-0001,2023-01-20 12:00:00,0.353,56.4,118.1,649.3
READ-000056,ROB-0001,2023-01-20 18:00:00,0.358,50.5,152.0,1769.7
READ-000057,ROB-0001,2023-01-21 00:00:00,0.539,49.0,106.4,1103.4
READ-000058,ROB-0001,2023-01-21 06:00:00,0.173,68.0,134.0,2068.3
READ-000059,ROB-0001,2023-01-21 12:00:00,0.366,43.6,142.7,1497.6
READ-000060,ROB-0001,2023-01-21 18:00:00,0.254,62.3,117.3,1761.1
READ-000061,ROB-0001,2023-01-22 00:00:00,0.533,56.8,63.6,613.8
READ-000062,ROB-0001,2023-01-22 06:00:00,0.145,38.4,88.7,1456.4
READ-000063,ROB-0001,2023-01-22 12:00:00,0.27,65.4,96.6,1482.1
READ-000064,ROB-0001,2023-01-22 18:00:00,0.365,50.0,115.8,878.4
READ-000065,ROB-0001,2023-01-23 00:00:00,0.482,54.6,121.2,777.4
READ-000066,ROB-0001,2023-01-23 06:00:00,0.198,53.4,104.8,1579.0
READ-000067,ROB-0001,2023-01-23 12:00:00,0.459,59.8,65.9,905.0
READ-000068,ROB-0001,2023-01-23 18:00:00,0.364,65.0,74.1,962.2
READ-000069,ROB-0001,2023-01-24 00:00:00,0.155,52.6,105.0,881.3
READ-000070,ROB-0001,2023-01-24 06:00:00,0.198,71.7,114.7,1542.8
READ-000071,ROB-0001,2023-01-24 12:00:00,0.341,61.6,102.8,798.7
READ-000072,ROB-0001,2023-01-24 18:00:00,0.26,70.6,112.6,879.9
READ-000073,ROB-0001,2023-01-25 00:00:00,0.233,68.8,61.8,1309.5
READ-000074,ROB-0001,2023-01-25 06:00:00,0.563,66.0,137.2,959.4
READ-000075,ROB-0001,2023-01-25 12:00:00,0.34,46.8,123.8,832.0
READ-000076,ROB-0001,2023-01-25 18:00:00,0.193,57.9,80.6,1423.3
READ-000077,ROB-0001,2023-01-26 00:00:00,0.335,44.9,65.5,2001.0
READ-000078,ROB-0001,2023-01-26 06:00:00,0.483,59.5,104.0,1149.6
READ-000079,ROB-0001,2023-01-26 12:00:00,0.584,47.9,63.3,1649.3
READ-000080,ROB-0001,2023-01-26 18:00:00,0.245,51.1,75.8,1762.1
READ-000081,ROB-0001,2023-01-27 00:00:00,0.213,65.8,99.0,1165.7
